,id,sku,product_name,category,price,currency,stock,rating,in_stock,supplier,created_date,tags
0,1,sku-1001,wireless mouse,office,133.77,usd,35.0,4.3,True,officehub,2026-06-13,['popular']
1,2,sku-1002,ultra-light mouse,electronics,121.04,usd,129.0,3.9,True,officehub,2026-04-19,['eco']
2,3,sku-1003,heavy-duty water bottle,home & kitchen,232.87,usd,71.0,4.5,True,abc supplies,2026-06-16,['eco']
3,4,sku-1004,compact backpack,home & kitchen,119.43,usd,195.0,3.2,True,abc supplies,2026-04-19,"['sale', 'budget']"
4,5,sku-1005,compact notebook,office,406.46,usd,186.0,3.5,True,abc supplies,2026-08-05,"['sale', 'popular']"
5,6,sku-1006,wireless mouse,office,0.0,usd,131.0,2.5,True,techworld ltd,2026-03-17,"['sale', 'premium']"
6,7,sku-1007,wireless water bottle,office,234.9,usd,213.0,3.3,True,global goods,2026-08-10,"['premium', 'eco']"
7,8,sku-1008,wireless notebook,home & kitchen,274.06,usd,62.0,2.7,True,prime distributors,2026-03-10,"['sale', 'Sale', 'premium']"
8,9,sku-1009,portable charger,office,423.78,usd,198.0,2.5,True,abc supplies,2026-05-23,"['Sale', 'premium']"
9,10,sku-1010,portable desk lamp,outdoor,440.04,$,131.0,2.9,True,prime distributors,2026-01-17,"['eco', 'new']"
10,11,sku-1011,ergonomic keyboard,home & kitchen,376.32,$,137.0,3.0,True,officehub,2026-02-06,"['popular', 'new']"
11,12,sku-1012,portable keyboard,outdoor,254.36,usd,193.0,2.4,True,abc supplies,2026-04-03,['eco']
12,13,sku-1013,solar notebook,electronics,201.61,usd,152.0,5.0,True,officehub,2026-02-10,"['popular', 'sale']"
13,14,sku-1014,wireless charger,outdoor,379.18,usd,196.0,4.0,true,abc supplies,2026-06-24,"['new', 'premium']"
14,15,sku-1015,ultra-light desk lamp,office,486.37,usd,195.0,3.55,True,abc supplies,2026-04-27,"['budget', 'eco', 'popular']"
15,16,sku-1016,portable keyboard,office,384.82,usd,138.0,4.9,True,officehub,2026-06-05,['popular']
16,17,sku-1017,modular mouse,electronics,465.61,usd,224.0,5.0,True,global goods,2026-03-24,['sale']
17,18,sku-1018,foldable chair,electronics,369.98,usd,208.0,2.5,True,officehub,2026-03-03,[]
18,19,sku-1019,modular monitor stand,home & kitchen,143.55,usd,131.0,3.9,True,unknown,2026-06-18,"['bestseller', 'eco', 'premium']"
19,20,sku-1020,ergonomic water bottle,office,227.48,usd,132.0,4.5,True,abc supplies,2026-07-02,"eco,popular"
20,21,sku-1021,ultra-light notebook,outdoor,126.61,usd,120.0,2.3,True,abc supplies,2026-03-28,['sale']
21,22,sku-1022,ultra-light mouse,office,246.135,usd,131.0,3.1,True,abc supplies,2026-08-20,['popular']
22,23,sku-1023,foldable notebook,unknown,132.85,usd,121.0,4.5,True,techworld ltd,2026-02-03,['sale']
23,24,sku-1024,solar desk lamp,accessories,214.38,usd,221.0,4.3,True,abc supplies,2026-06-18,['new']
24,25,sku-1025,compact webcam,electronics,135.6,usd,48.0,3.7,False,techworld ltd,2026-07-06,"['premium', 'budget']"
25,26,sku-1026,wireless mouse,electronics,229.92,usd,220.0,4.6,True,abc supplies,2026-04-29,['eco']
26,27,sku1027,ultra-light chair,home & kitchen,95.66,usd,124.0,3.6,True,prime distributors,2026-05-19,['premium']
27,28,sku-1028,ultra-light water bottle,office,246.135,usd,200.0,3.5,True,n/a,15/01/2026,"['eco', 'popular', 'new']"
